Theme,Sub Theme,Feature Name,Co-ordinates
Transport,Railway Station,Flemington Bridge Railway Station,"-37.7881645889621, 144.939277838304"
Mixed Use,Retail/Office/Carpark,Council House 2 (CH2),"-37.8142591432011, 144.966638432727"
Leisure/Recreation,Informal Outdoor Facility (Park/Garden/Reserve),Carlton Gardens South,"-37.8060684577258, 144.971266479841"
Place of Worship,Church,Wesley Church,"-37.8101576446961, 144.968168215633"
Place of Worship,Church,St Augustines Church,"-37.8169741358546, 144.954862000132"
Place of Worship,Church,Church of Christ,"-37.8104524079085, 144.96388920294"
Place of Worship,Church,Holy Trinity,"-37.8140667110854, 144.983197322289"
Place of Worship,Church,Melbourne Unitarian Church,"-37.8114487773394, 144.984664890999"
Place of Worship,Church,All Nations Uniting Church,"-37.7959155303946, 144.968981110942"
Place of Worship,Church,Our Lady of Lebanon Church,"-37.8025766539683, 144.969334720932"
Place of Worship,Church,St Alban Anglican Church,"-37.7942169477929, 144.94161451392"
Place of Worship,Church,Christ Church Kensington,"-37.7932109480553, 144.92729572288"
Place of Worship,Church,Holy Rosary,"-37.7948087414394, 144.928362125005"
Health Services,Private Hospital,Melbourne Private Hospital,"-37.7983111309698, 144.95728837725"
Community Use,Police Station,Victoria Police,"-37.8003121288849, 144.954697453742"
Community Use,Police Station,Victoria Police,"-37.8219773910249, 144.953398014034"
Leisure/Recreation,Private Sports Club/Facility,Royal Park Golf Course,"-37.7819171308558, 144.956309119368"
Leisure/Recreation,Major Sports & Recreation Facility,Visy Park,"-37.7834303940347, 144.961982577553"
Place Of Assembly,Art Gallery/Museum,Old Melbourne Gaol Crime & Justice Experience,"-37.8077644149636, 144.965463853978"
Place Of Assembly,Theatre Live,Playhouse,"-37.8218124583016, 144.968337832721"
Leisure/Recreation,Informal Outdoor Facility (Park/Garden/Reserve),Batman Park,"-37.8218460949601, 144.956665812218"
Office,Office,Australian Red Cross,"-37.7990921023192, 144.952635945774"
Place Of Assembly,Function/Conference/Exhibition Centre,Melbourne Exhibition Centre,"-37.8252455123297, 144.95435243249"
Place Of Assembly,Art Gallery/Museum,Polly Woodside,"-37.8242574266145, 144.953478052064"
Place Of Assembly,Art Gallery/Museum,Victorian Arts Centre,"-37.8219947335768, 144.968837288153"
Community Use,Public Buildings,Melbourne Town Hall,"-37.8150754791411, 144.966542722283"
Mixed Use,Retail/Office,DFO South Wharf,"-37.824887401234, 144.949794297819"
Community Use,Public Buildings,Sidney Myer Music Bowl,"-37.8233471608733, 144.974686151365"
Health Services,Public Hospital,The Royal Victorian Eye & Ear Hospital,"-37.8087522829868, 144.976268275082"
Place Of Assembly,Art Gallery/Museum,The Ian Potter Centre: NGV Australia,"-37.8174831423197, 144.969899048343"
Purpose Built,Film & RV Studio,Channel 7 - Melbourne Broadcast Centre,"-37.8158572333481, 144.94582326909"
Vacant Land,Current Construction Site,Harbour Town,"-37.8139256326845, 144.938123825625"
Leisure/Recreation,Major Sports & Recreation Facility,AAMI Park,"-37.8247252673963, 144.98380297866"
Place Of Assembly,Function/Conference/Exhibition Centre,Central Pier,"-37.8165177307702, 144.943475014215"
Leisure/Recreation,Observation Tower/Wheel,Melbourne Star Observation Wheel,"-37.8116163666726, 144.937588920436"
